"municipio_id_sus","uf_sigla","municipio_nome","isf_nota","periodo_data_inicio"
"354780",SP,SANTO ANDRÉ,3.59,2022-12-01
"351400",SP,DOBRADA,3.59,2022-12-01
"150195",PA,CACHOEIRA DO PIRIÁ,3.6,2022-12-01
"410045",PR,ALTAMIRA DO PARANÁ,3.6,2022-12-01
"320255",ES,IBITIRAMA,3.61,2022-12-01
"210690",MA,MONÇÃO,3.62,2022-12-01
"500640",MS,PEDRO GOMES,3.62,2022-12-01
"431860",RS,SÃO JOSÉ DO OURO,3.62,2022-12-01
"140002",RR,AMAJARI,3.63,2022-12-01
"315460",MG,RIBEIRÃO DAS NEVES,3.64,2022-12-01
"352690",SP,LIMEIRA,3.64,2022-12-01
"311250",MG,CAPIM BRANCO,3.64,2022-12-01
"210545",MA,JATOBÁ,3.65,2022-12-01
"350150",SP,ALVINLÂNDIA,3.65,2022-12-01
"351970",SP,IBIÚNA,3.66,2022-12-01
"250180",PB,BAYEUX,3.66,2022-12-01
"432237",RS,UNISTALDA,3.66,2022-12-01
"241120",RN,SANTA CRUZ,3.66,2022-12-01
"432225",RS,TUPANDI,3.67,2022-12-01
"311590",MG,CHÁCARA,3.67,2022-12-01
"432290",RS,VIADUTOS,3.67,2022-12-01
"330060",RJ,BOM JESUS DO ITABAPOANA,3.68,2022-12-01
"350660",SP,BIRITIBA-MIRIM,3.68,2022-12-01
"311860",MG,CONTAGEM,3.69,2022-12-01
"313820",MG,LAVRAS,3.69,2022-12-01
"330185",RJ,GUAPIMIRIM,3.7,2022-12-01
"352840",SP,MAIRINQUE,3.7,2022-12-01
"314300",MG,MONTE BELO,3.7,2022-12-01
"280210",SE,ESTÂNCIA,3.71,2022-12-01
"261250",PE,SANTA CRUZ DO CAPIBARIBE,3.71,2022-12-01
"352220",SP,ITAPECERICA DA SERRA,3.72,2022-12-01
"353440",SP,OSASCO,3.72,2022-12-01
"120013",AC,BUJARI,3.73,2022-12-01
